id,value
1SquirrelRabbit,1
1StarFleetCadet,2
1SteveEssendrup,1
1StormCrow1,1
1SupremeGoddess,1
1Swinging_Voter,1
1TD,3
1T_sauro,1
1Techsan,1
1ThatsTrue,2
1TheEnlightened,1
1Tommysmom1,1
1TrumpMAGA,1
1USNews,1
1UrbanEarring,1
1VXcvj2gLEr62mg,1
1VoiceMatters,1
1WonderfulMom,1
1_Hoof_Hearted,1
1_Jerry_2,1
1_NightRaven,1
1_Search_org,2
1_bird_in_hand,1
1_cendy,1
1_karver,1
1_newsnet,1
1_scorpio,1
1alienfrommars,1
1amorgan,1
1arupprec,1
1azylizzie,1
1barbiv,1
1baronjennyson,1
1bchambers,1
1bitcoindaily,1
1blessedbee,1
1bluecollarman,2
1bonytoad,1
1bowman5,1
1butterflywild,6
1canadagirl,1
1ch_allenger,1
1chefdiva,2
1chief__rocka,1
1chilladynaz,1
1cliffgordon,1
1corrupthillary,1
1crazystlgal,1
1csethi,1
1currentworld,1
1darrenjennings,1
1dd129eb2b6c4c9,1
1ditorial,1
1dognan,1
1faeuIvNc5Oglm9,1
1fellswoop7,1
1finekitty,1
1flwpbmll,1
1foreverseeking,1
1france2systems,1
1freetruth,1
1g6piCfqIu9QI6Y,1
1grafixking,1
1hardkernel,2
1hinky1,1
1hippoallalone,1
1inhalfabillion,1
1jamesclark1,1
1jcc,3
1jelliott1,2
1johnG,1
1joseluis752,1
1juanzepeda,1
1julesc,2
1kanakaAmakee,1
1kathyr,3
1kenwilson24,1
1kickassmarines,1
1life2give,1
1liners,2
1lisbongirl,1
1loriking,3
1loveinme,1
1lowbattery,2
1lucasnoll,2
1maryalice,1
1meankitty,1
1mediocre,1
1missypooh,1
1mnieto,1
1more4_Trump,1
1moregyllenhaal,1
1morevet,1
1motomami,2
1mtpete001,1
1nancyschindler,1
1nePhenomenalMe,1
1newyorkmetsfan,1
1nillywilly1,1
1nomore1,1
1of74074037,2
1ofabev,1
1ofakndLizzy,1
1oftheJonesboys,1
1olderthebetter,1
1openbrain,1
1outspoken1,1
1pantsuiter,1
1pattydaniel,1
1personamerican,1
1peterdop,1
1proudamcitizen,4
1ravac,1
1rdEnfantrySdz,1
1redneckgrandma,1
1redroom1,1
1remyi,1
1rgoldy,1
1rhondac,2
1rishinfidel,1
1saespana,1
1sland2,1
1stAmend_Rights,1
1stAmendment_1A,1
1stAztecWarrior,1
1stFanofChicago,3
1stGrumpydude,2
1stIrregulars,1
1stSvelteCelt,4
1stThunderThief,2
1stTimeVoter216,1
1st_experts,1
1staidgirl,1
1stayinformed,2
1sthappysodme,1
1streddawg,1
1stworldmusic,1
1summerstar1,2
1sweettweet4u,1
1t1tamanda,1
1thinchip,3
1whoknock,1
1xfly,1
1yomario,1
1zzyzyx1,1
2000Lamb,1
