id,value
100005598,1
10001212,1
100014382,1
100015201,1
1000305042,1
1000365625,1
1000373353,1
100037413,1
100038293,1
100038301,1
1000438495,1
1000459393,1
1000468711,1
100048048,1
1000495650,1
1000626229,1
1000661784,2
1000699344,1
1000716656,1
10007262,1
1000755073,1
100081485,1
1000842445,1
1000908828,1
1000993476,1
1001193812,1
100126161,1
1001267076,1
1001280967,1
1001445254,1
100146431,8
1001730474,1
1001891894,1
10021472,1
1002181412,1
100231183,1
1002336223,1
1002373614,1
1002379453,1
100241601,1
100253978,1
100258473,2
100260262,1
1002668988,1
1002755539,1
100285197,1
1002862598,5
100291776,1
100298314,2
1003080068,1
1003113127,1
1003130904,1
100314303,1
1003248361,1
100327197,4
100330876,1
100337224,1
100339069,1
1003431332,1
1003440600,1
1003475954,5
1003480417,1
1003525832,1
100357196,1
1003669872,1
1003697563,6
100379928,1
1003815175,1
100386163,1
1003922414,1
1004008585,1
100411208,3
1004143693,2
1004152070,1
100417356,1
1004192154,1
10041942,1
100431430,1
1004364444,1
100440722,1
10044232,1
1004426394,2
1004464082,1
1004554363,2
1004572836,2
100458294,1
1004672041,1
1004702144,1
1004813316,1
1004859236,1
100497481,1
100507316,1
1005126732,1
1005179521,1
100521364,1
1005213895,1
10052192,1
100530267,1
100531988,2
1005330553,1
1005418232,1
1005466356,1
100548527,1
100553530,1
1005661218,1
1005675566,8
100574648,1
10058212,1
100583709,1
100596971,1
100608458,4
100621165,1
100621507,1
1006222616,1
1006237058,1
100631458,1
1006347098,1
100636485,1
100648431,1
1006620182,1
100670448,1
1006704806,2
1006737595,1
100678690,1
100680394,1
1006827038,1
1006890408,1
1006993644,1
1007024666,1
1007053428,1
1007126556,1
1007186917,1
1007187600,1
100726816,1
100730909,1
100731315,2
1007327732,1
100735669,1
1007373938,1
1007507203,1
1007547528,1
1007581884,2
10076302,1
10076332,1
1007650532,2
1007673409,1
100767362,1
100768520,2
100770309,1
1007708946,3
100779526,1
100786433,1
10078802,1
1007882766,1
1007987365,1
1007993767,1
100822807,1
1008317095,1
100838706,1
10084232,1
100845380,3
100852933,1
100853734,1
100855071,1
100861460,1
100862693,1
100863319,1
100875458,1
100887906,1
1008982807,1
1009055821,1
1009355191,1
1009541828,1
1009631790,1
100965849,1
100986115,1
1009924574,1
1009977776,1
101008921,1
1010137158,1
10101742,1
1010215008,1
1010227790,1
1010369389,1
101040635,1
101058456,1
101066338,1
101077434,1
101084228,1
1010866735,1
101088916,1
101092686,1
101099038,1
101106432,1
101108084,1
101116130,1
1011289866,1
1011299226,4
10113082,1
1011339350,2
101140548,1
1011437412,1
1011529310,1
101158008,1
101158270,1
1011639570,1
1011644652,2
1011686936,1
101170608,1
1011712682,1
101172329,1
1011801625,1
1011809412,1
10118982,1
1011911270,1
101193997,1
1012148450,1
1012193976,1
1012194126,1
1012211353,1
101224066,1
1012250227,1
1012257954,1
1012266655,1
1012329853,2
101237607,1
1012376300,1
101243223,1
1012523509,1
101253976,1
1012542457,1
101258109,1
101258274,1
1012600135,1
101266017,1
101273932,1
1012822723,1
1012855112,1
1012877166,1
1013021047,1
101315410,1
101317532,1
1013185272,1
101324944,1
1013273629,1
101334380,4
1013414148,1
101342520,1
101346144,2
101346316,2
10135082,1
1013775763,1
101379260,1
1013796373,1
10138412,1
1013865253,1
101387583,1
101394950,1
101409885,2
1014151464,1
1014161167,1
101421185,1
101421903,1
1014322812,2
1014347233,1
1014358560,1
1014459444,1
101447487,1
101451370,1
1014518305,1
1014588606,1
1014624224,1
1014742658,1
1014831392,1
1014861722,1
1015035295,2
1015079150,2
101518586,1
101521769,1
101532348,2
101534630,1
101538285,1
1015388066,1
101540260,1
1015479589,1
1015498340,1
1015667113,1
101568279,1
1015709150,1
1015788055,1
1015815726,1
1015821870,1
101590798,2
1016018412,1
1016065436,1
101607474,1
1016146038,1
1016146728,1
1016236338,1
101625969,1
